Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Chicago Bulls,Philadelphia 76ers,105,114,-172,+149
N/A,Dallas Mavericks,Boston Celtics,107,104,-159,+138
N/A,Phoenix Suns,Atlanta Hawks,121,117,-161,+139
N/A,Portland Trail Blazers,Los Angeles Lakers,105,90,-196,+169
N/A,Toronto Raptors,Brooklyn Nets,103,116,+135,-156
N/A,Washington Wizards,Milwaukee Bucks,101,94,-103,-112
N/A,Sacramento Kings,Indiana Pacers,91,94,-135,+117
N/A,Orlando Magic,Utah Jazz,107,100,+476,-625
N/A,New York Knicks,Cleveland Cavaliers,109,126,-312,+257
N/A,Oklahoma City Thunder,San Antonio Spurs,99,94,+139,-161
N/A,Golden State Warriors,Houston Rockets,120,107,-1000,+663
N/A,Los Angeles Clippers,Charlotte Hornets,120,106,-244,+206
N/A,Philadelphia 76ers,New York Knicks,96,103,+108,-125
N/A,Memphis Grizzlies,Minnesota Timberwolves,125,118,-185,+158
N/A,Chicago Bulls,Brooklyn Nets,118,95,-104,-111
N/A,Dallas Mavericks,New Orleans Pelicans,108,92,-417,+334
N/A,Denver Nuggets,Miami Heat,113,96,+106,-123
N/A,Sacramento Kings,Phoenix Suns,104,109,+136,-156
N/A,Golden State Warriors,Atlanta Hawks,127,113,-164,+141
N/A,Los Angeles Lakers,Charlotte Hornets,126,123,-133,+114
N/A,Philadelphia 76ers,Milwaukee Bucks,109,118,+246,-294
N/A,Utah Jazz,Atlanta Hawks,110,98,-400,+316
N/A,Los Angeles Clippers,Portland Trail Blazers,117,109,-149,+129
N/A,Orlando Magic,Brooklyn Nets,90,123,+365,-476
N/A,Cleveland Cavaliers,Washington Wizards,94,97,+136,-159
N/A,New York Knicks,Milwaukee Bucks,100,112,-161,+139
N/A,Houston Rockets,Detroit Pistons,104,112,-147,+125
N/A,Boston Celtics,Toronto Raptors,104,88,-152,+129
N/A,New Orleans Pelicans,Oklahoma City Thunder,100,108,-182,+156
N/A,Memphis Grizzlies,Charlotte Hornets,108,118,-185,+159
N/A,Chicago Bulls,Dallas Mavericks,117,107,-164,+140
N/A,San Antonio Spurs,Sacramento Kings,136,117,-111,-104
N/A,Phoenix Suns,Portland Trail Blazers,119,109,-200,+171
N/A,Denver Nuggets,Indiana Pacers,101,98,+140,-161
N/A,Los Angeles Lakers,Miami Heat,120,117,+181,-217
N/A,Golden State Warriors,Minnesota Timberwolves,123,110,-323,+263
N/A,Philadelphia 76ers,Toronto Raptors,109,115,-169,+147
N/A,Utah Jazz,Indiana Pacers,100,111,-556,+417
N/A,Los Angeles Clippers,Miami Heat,112,109,-213,+179
N/A,Charlotte Hornets,New York Knicks,104,96,+125,-145
N/A,Cleveland Cavaliers,Detroit Pistons,98,78,-196,+167
N/A,Boston Celtics,Milwaukee Bucks,122,113,-213,+179
N/A,Oklahoma City Thunder,Sacramento Kings,105,103,+167,-196
N/A,New Orleans Pelicans,Brooklyn Nets,112,120,+353,-455
N/A,Memphis Grizzlies,Phoenix Suns,94,119,+106,-123
N/A,Houston Rockets,Portland Trail Blazers,92,104,+224,-270
N/A,San Antonio Spurs,Dallas Mavericks,109,123,+121,-141
N/A,Denver Nuggets,Atlanta Hawks,105,96,-161,+139
N/A,Golden State Warriors,Chicago Bulls,119,93,-227,+192
N/A,Los Angeles Lakers,Minnesota Timberwolves,83,107,-125,+106
N/A,Utah Jazz,Miami Heat,105,111,-345,+280
N/A,Orlando Magic,Washington Wizards,92,104,+161,-189
N/A,New Orleans Pelicans,Memphis Grizzlies,112,101,+135,-156
N/A,Indiana Pacers,Philadelphia 76ers,118,113,-167,+143
N/A,Toronto Raptors,Detroit Pistons,121,127,-370,+300
N/A,Cleveland Cavaliers,Boston Celtics,91,89,-105,-109
N/A,Los Angeles Clippers,Minnesota Timberwolves,129,102,-270,+227
N/A,Los Angeles Lakers,San Antonio Spurs,114,106,-137,+118
N/A,Atlanta Hawks,Milwaukee Bucks,120,100,-132,+112
N/A,Oklahoma City Thunder,Brooklyn Nets,96,120,+333,-417
N/A,Houston Rockets,Phoenix Suns,89,115,+305,-385
N/A,Charlotte Hornets,Golden State Warriors,106,102,+181,-213
N/A,Denver Nuggets,Portland Trail Blazers,124,95,-233,+197
N/A,Los Angeles Clippers,Chicago Bulls,90,100,-172,+148
N/A,Washington Wizards,New Orleans Pelicans,105,100,-182,+156
N/A,Detroit Pistons,Sacramento Kings,107,129,+152,-175
N/A,Cleveland Cavaliers,Boston Celtics,92,98,+150,-172
N/A,New York Knicks,Indiana Pacers,92,84,-152,+131
N/A,Atlanta Hawks,Orlando Magic,129,111,-556,+428
N/A,Oklahoma City Thunder,Miami Heat,90,103,+215,-256
N/A,Minnesota Timberwolves,Phoenix Suns,96,99,+146,-169
N/A,Memphis Grizzlies,Houston Rockets,136,102,-667,+508
N/A,Dallas Mavericks,Denver Nuggets,111,101,-208,+175
N/A,Portland Trail Blazers,Toronto Raptors,118,113,-154,+131
N/A,Los Angeles Lakers,Chicago Bulls,103,121,+110,-127
N/A,Brooklyn Nets,Golden State Warriors,99,117,-141,+121
N/A,Utah Jazz,Philadelphia 76ers,120,85,-556,+418
N/A,Los Angeles Clippers,San Antonio Spurs,106,92,-303,+250
N/A,Detroit Pistons,Indiana Pacers,97,89,+227,-270
