Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Washington Wizards,Milwaukee Bucks,117,113,+571,-833
N/A,Chicago Bulls,Atlanta Hawks,101,113,-130,+108
N/A,New Orleans Pelicans,Phoenix Suns,111,124,-120,+102
N/A,Charlotte Hornets,Boston Celtics,104,118,+1070,-2000
N/A,Detroit Pistons,Memphis Grizzlies,108,110,-135,+114
N/A,Indiana Pacers,Brooklyn Nets,133,111,-714,+508
N/A,Orlando Magic,Portland Trail Blazers,104,103,-2000,+994
N/A,Sacramento Kings,Utah Jazz,127,106,-909,+577
N/A,Houston Rockets,Dallas Mavericks,107,125,+133,-159
N/A,Minnesota Timberwolves,Chicago Bulls,101,109,-385,+296
N/A,New York Knicks,Oklahoma City Thunder,112,113,+100,-119
N/A,San Antonio Spurs,Golden State Warriors,113,117,+380,-500
N/A,Brooklyn Nets,Los Angeles Lakers,104,116,+212,-263
N/A,Charlotte Hornets,Los Angeles Clippers,118,130,+706,-1111
N/A,Toronto Raptors,Philadelphia 76ers,120,135,+318,-417
N/A,Washington Wizards,Miami Heat,107,119,+470,-667
N/A,Denver Nuggets,Cleveland Cavaliers,130,101,-185,+154
N/A,Atlanta Hawks,Milwaukee Bucks,113,122,+163,-196
N/A,Orlando Magic,Memphis Grizzlies,118,88,-833,+559
N/A,New Orleans Pelicans,Boston Celtics,92,104,+190,-233
N/A,Sacramento Kings,Dallas Mavericks,103,107,-102,-116
N/A,Utah Jazz,Houston Rockets,100,101,+262,-333
N/A,Denver Nuggets,Minnesota Timberwolves,98,111,-147,+125
N/A,Miami Heat,Portland Trail Blazers,142,82,-1000,+670
N/A,Oklahoma City Thunder,Phoenix Suns,128,103,+106,-127
N/A,San Antonio Spurs,New York Knicks,130,126,+273,-345
N/A,Brooklyn Nets,Chicago Bulls,125,108,+125,-149
N/A,Cleveland Cavaliers,Philadelphia 76ers,117,114,-270,+219
N/A,Charlotte Hornets,Golden State Warriors,97,115,+571,-833
N/A,Indiana Pacers,Los Angeles Lakers,109,90,-156,+129
N/A,Orlando Magic,Los Angeles Clippers,97,100,+104,-123
N/A,Washington Wizards,Detroit Pistons,87,96,-154,+129
N/A,New Orleans Pelicans,Milwaukee Bucks,107,100,+112,-133
N/A,Atlanta Hawks,Boston Celtics,123,122,+719,-1250
